csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
13,532,0.2398953139781952,,,,,
13,533,0.23038604855537415,,,,,
13,534,0.22476491332054138,,,,,
13,535,0.21394449472427368,,,,,
13,536,0.2394130527973175,,,,,
13,537,0.2267760932445526,,,,,
13,538,0.2138243466615677,,,,,
13,539,0.26108136773109436,,,,,
13,540,0.24013718962669373,,,,,
13,541,0.23694846034049988,,,,,
13,542,0.24270440638065338,,,,,
13,543,0.2591361105442047,,,,,
13,544,0.25377070903778076,,,,,
13,545,0.22653812170028687,,,,,
13,546,0.21620336174964905,,,,,
13,547,0.23106884956359863,,,,,
13,548,0.23209741711616516,,,,,
13,549,0.2359023243188858,,,,,
13,550,0.23733139038085938,,,,,
13,551,0.21895352005958557,,,,,
13,552,0.21994778513908386,,,,,
13,553,0.2256825715303421,,,,,
13,554,0.22984153032302856,,,,,
13,555,0.2482771873474121,,,,,
13,556,0.22667016088962555,,,,,
13,557,0.23379631340503693,,,,,
13,558,0.22204411029815674,,,,,
13,559,0.22434739768505096,,,,,
,65,,0.22231130301952362,,,,
,66,,0.21999557316303253,,,,
,67,,0.22052964568138123,,,,
,68,,0.2270992398262024,,,,
,69,,0.21344076097011566,,,,
13,559,,,0.22067531943321228,,,
13,559,,,,0.23170050978660583,1.0,0.140625
14,560,0.21393349766731262,,,,,
14,561,0.22366853058338165,,,,,
14,562,0.23112696409225464,,,,,
14,563,0.21957123279571533,,,,,
14,564,0.24746398627758026,,,,,
14,565,0.2310318648815155,,,,,
14,566,0.22394928336143494,,,,,
14,567,0.21896080672740936,,,,,
14,568,0.23088467121124268,,,,,
14,569,0.22621391713619232,,,,,
14,570,0.2390071153640747,,,,,
14,571,0.22954171895980835,,,,,
14,572,0.2244945913553238,,,,,
14,573,0.24749162793159485,,,,,
14,574,0.2388153374195099,,,,,
14,575,0.21548545360565186,,,,,
14,576,0.20753449201583862,,,,,
14,577,0.2182607650756836,,,,,
14,578,0.2146565318107605,,,,,
14,579,0.2512590289115906,,,,,
14,580,0.22504283487796783,,,,,
14,581,0.2082865834236145,,,,,
14,582,0.23588575422763824,,,,,
14,583,0.2247750610113144,,,,,
14,584,0.24035139381885529,,,,,
14,585,0.23863691091537476,,,,,
14,586,0.23200426995754242,,,,,
14,587,0.2466181516647339,,,,,
14,588,0.21917252242565155,,,,,
14,589,0.20900943875312805,,,,,
14,590,0.2225952446460724,,,,,
14,591,0.22237253189086914,,,,,
14,592,0.23818302154541016,,,,,
14,593,0.22222931683063507,,,,,
14,594,0.23817378282546997,,,,,
14,595,0.24332599341869354,,,,,
14,596,0.229558527469635,,,,,
14,597,0.22320854663848877,,,,,
14,598,0.22066527605056763,,,,,
14,599,0.22500121593475342,,,,,
,70,,0.22141101956367493,,,,
,71,,0.21931663155555725,,,,
,72,,0.21862979233264923,,,,
,73,,0.22636041045188904,,,,
,74,,0.21252557635307312,,,,
14,599,,,0.21964868903160095,,,
14,599,,,,0.22796118259429932,1.0,0.11562500149011612
15,600,0.20771045982837677,,,,,
15,601,0.22936256229877472,,,,,
15,602,0.23060253262519836,,,,,
15,603,0.22935204207897186,,,,,
15,604,0.2436472773551941,,,,,
15,605,0.21436119079589844,,,,,
15,606,0.2370203137397766,,,,,
15,607,0.2605544328689575,,,,,
15,608,0.24918290972709656,,,,,
15,609,0.20747588574886322,,,,,
15,610,0.22724992036819458,,,,,
15,611,0.2213142365217209,,,,,
15,612,0.2314576953649521,,,,,
15,613,0.24142928421497345,,,,,
15,614,0.22224490344524384,,,,,
15,615,0.22439540922641754,,,,,
15,616,0.2448926419019699,,,,,
15,617,0.22019413113594055,,,,,
15,618,0.23588386178016663,,,,,
15,619,0.2217603325843811,,,,,
15,620,0.24363069236278534,,,,,
15,621,0.23786363005638123,,,,,
