csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-accuracy/validator,csv-train_loss_epoch
0.03812989592552185,82,247,,,,,
0.029629789292812347,82,248,,,,,
,,82,0.016144413501024246,,,,
,82,248,,0.016144411638379097,,,
,82,248,,,0.9583333134651184,0.0,0.033970288932323456
0.026294425129890442,83,249,,,,,
0.03260854631662369,83,250,,,,,
0.036142949014902115,83,251,,,,,
,,83,0.01454621646553278,,,,
,83,251,,0.01454621460288763,,,
,83,251,,,0.9583333134651184,0.0,0.030789777636528015
0.028194725513458252,84,252,,,,,
0.0182225089520216,84,253,,,,,
0.05192742869257927,84,254,,,,,
,,84,0.012745995074510574,,,,
,84,254,,0.012745995074510574,,,
,84,254,,,0.9583333134651184,0.0,0.028952378779649734
0.03803430125117302,85,255,,,,,
0.01721402257680893,85,256,,,,,
0.01999473199248314,85,257,,,,,
,,85,0.012575148604810238,,,,
,85,257,,0.012575148604810238,,,
,85,257,,,0.9583333134651184,0.0,0.026098275557160378
0.02526807226240635,86,258,,,,,
0.023358363658189774,86,259,,,,,
0.03423003852367401,86,260,,,,,
,,86,0.011531795375049114,,,,
,86,260,,0.011531796306371689,,,
,86,260,,,0.9583333134651184,0.0,0.026296580210328102
0.020941397175192833,87,261,,,,,
0.031068038195371628,87,262,,,,,
0.03167081996798515,87,263,,,,,
,,87,0.011842736043035984,,,,
,87,263,,0.011842736043035984,,,
,87,263,,,0.9583333134651184,0.0,0.027137935161590576
0.0348178930580616,88,264,,,,,
0.021014243364334106,88,265,,,,,
0.01287823636084795,88,266,,,,,
,,88,0.013683884404599667,,,,
,88,266,,0.013683885335922241,,,
,88,266,,,0.9583333134651184,0.0,0.02490849979221821
0.02095436118543148,89,267,,,,,
0.027556469663977623,89,268,,,,,
0.022530484944581985,89,269,,,,,
,,89,0.01546683069318533,,,,
,89,269,,0.01546683069318533,,,
,89,269,,,0.9583333134651184,0.0,0.02391042932868004
0.02456679753959179,90,270,,,,,
0.03197135403752327,90,271,,,,,
0.018952110782265663,90,272,,,,,
,,90,0.01529807411134243,,,,
,90,272,,0.015298075042665005,,,
,90,272,,,0.9583333134651184,0.0,0.026405682787299156
0.00782738346606493,91,273,,,,,
0.03499860689043999,91,274,,,,,
0.03756987303495407,91,275,,,,,
,,91,0.014585623517632484,,,,
,91,275,,0.014585621654987335,,,
,91,275,,,0.9583333134651184,0.0,0.02464437112212181
